target,func,factor,level,variable,value
Distance,Power exponential,Mode,Bike,β2,0.8711096026246835
Distance,Power exponential,Purpose,Work,β2,1.0190251718480552
Distance,Power exponential,Purpose,Non-work,β2,0.7608327833250839
Distance,Power exponential,Urbanity,U → U,β2,0.6924842714885885
Distance,Power exponential,Urbanity,S → S,β2,0.765208265294555
Distance,Power exponential,Urbanity,R → R,β2,0.7292090986853985
Distance,Power exponential,Urbanity,U ↔ S,β2,0.9616891251868643
Distance,Power exponential,Urbanity,S ↔ R,β2,1.1505048183310989
Distance,Power exponential,Urbanity,R ↔ U,β2,1.264268442055928
Distance,Power exponential,SES,Low,β2,0.7025819684093841
Distance,Power exponential,SES,Mid,β2,0.7617505578627973
Distance,Power exponential,SES,High,β2,0.7845039457242059
Time,Power exponential,Overall,,β2,1.2822188265088326
Time,Power exponential,Mode,Drive,β2,1.339882136179026
Time,Power exponential,Mode,Transit,β2,1.678955278111353
Time,Power exponential,Mode,Walk,β2,1.009812511876092
Time,Power exponential,Mode,Bike,β2,1.2090776946833766
Time,Power exponential,Purpose,Work,β2,1.4436852604259143
Time,Power exponential,Purpose,Non-work,β2,1.2977931835914942
Time,Power exponential,Urbanity,U → U,β2,1.2201360079700796
Time,Power exponential,Urbanity,S → S,β2,1.2809755963341942
Time,Power exponential,Urbanity,R → R,β2,1.1464354368674246
Time,Power exponential,Urbanity,U ↔ S,β2,1.4790495060767497
Time,Power exponential,Urbanity,S ↔ R,β2,1.5590269817589937
Time,Power exponential,Urbanity,R ↔ U,β2,1.6955372417110302
Time,Power exponential,SES,Low,β2,1.1889893531016997
Time,Power exponential,SES,Mid,β2,1.2977176812854923
Time,Power exponential,SES,High,β2,1.276876537403794
