mode,purpose,β1,β2,r2
Drive,Work,-0.007127019605866406,1.5014525529451368,0.998158636039112
Drive,Non-work,-0.02009695582218029,1.3616299442006174,0.9951748822478075
Transit,Work,-0.00016615981509261274,2.0961921240799857,0.9991836047105384
Transit,Non-work,-0.002061922475052657,1.6080270685755398,0.9980694007931309
Walk,Work,-0.05358849349480423,1.085345768477889,0.997922617910384
Walk,Non-work,-0.058268827127359125,1.0074487470758526,0.9978747601858802
Bike,Work,-0.007652674618296586,1.591414918358985,0.994466879942382
Bike,Non-work,-0.028079925154705834,1.1452224655669057,0.9919427374560796
